,Unnamed: 0,Date,Bitcoin_Close,Bitcoin_Return,Bitcoin_Vol,BNB_Close,BNB_Return,BNB_Vol,Doge_Close,Doge_Return,Doge_Vol,Ethereum_Close,Ethereum_Return,Ethereum_Vol,weight,weighted conviction,normalized weighted conviction,conviction avg,conviction std,weighted conviction avg,weighted conviction std
1683,1229,2020-08-30,11668.4,0.0058271843321151,0.0136869032594441,23.5423,0.0187723132180799,0.0221889971137791,0.003285,-0.0105421686746987,0.0206719141376291,425.51,0.050823599140592,0.0293186417692758,1512.0,791.6407783,0.5235719433068783,0.7579046703846154,0.2537344490084651,15.22386112076923,53.98050310171501
1688,1233,2020-08-31,11674.8,0.0005484899386376,0.0136637238206283,23.1924,-0.014862609005917,0.0237920977587447,0.00323,-0.0167427701674277,0.0210963602134866,443.36,0.0419496604075111,0.0312970801578568,8.0,4.12708415,0.515885519,0.515885519,0.5777843147075657,0.515885519,0.5777843147075657
1693,1237,2020-09-01,11844.4,0.0145270154520849,0.0060830025553251,25.1712,0.0853210534485435,0.0357838720272979,0.003216,-0.0043343653250772,0.0168076430963122,471.57,0.0636277517141825,0.0235515387161741,1062.0,550.7967333500001,0.5186409918549907,0.8736299227777777,0.0949713,15.299909259722224,60.271364755663086
1698,1241,2020-09-02,11375.1,-0.039622099895309,0.0184101916861715,25.1322,-0.0015493897787947,0.0367700602574964,0.003087,-0.0401119402985075,0.0212052236706285,441.27,-0.064253451237356,0.0422004570428653,685.0,441.8463222,0.6450311272262773,0.7820852952054794,0.2251593583289634,6.052689344520548,17.957109277753204
1703,1245,2020-09-03,10249.6,-0.0989441851060649,0.0417592083550948,20.6874,-0.1768567813402726,0.0796004321095168,0.002803,-0.0919987042436022,0.0378952914121977,384.74,-0.1281075078749971,0.070731157957387,1055.0,605.6253186,0.5740524346445497,0.769414912,0.2503788173029179,7.570316481874999,30.761676051552246
1709,1250,2020-09-04,10432.4,0.0178348423353105,0.0424853464859264,21.0419,0.0171360344944264,0.0804553646792164,0.002909,0.037816625044595,0.041592167290462,388.18,0.0089411030826012,0.0703650906746887,29.0,15.91027449,0.5486301548275863,0.5560947607692308,0.5267683133763056,1.2238672684615386,1.3043924449271775
1715,1255,2020-09-05,10169.7,-0.0251811663663201,0.0414825852442021,19.0012,-0.0969826869246597,0.0863633579841063,0.002735,-0.0598143691990374,0.0419583215770937,329.17,-0.1520171054665361,0.0890143825252631,78.0,71.18102433000001,0.9125772350000002,0.8872986522222222,0.033409953,7.909002703333335,13.604800540466606
1721,1260,2020-09-06,10195.3,0.0025172817290577,0.0411854032566447,22.2955,0.1733732606361704,0.1143890757891829,0.002776,0.0149908592321754,0.0446063727239579,346.55,0.0527994653218701,0.0892997024096518,45.0,35.32248853,0.7849441895555556,0.7246805164705883,0.3006243944818005,2.0777934429411764,2.6224108529317505
1727,1265,2020-09-07,10305.7,0.0108285190234718,0.0421429676744996,22.4737,0.0079926442555673,0.1142888860836709,0.002773,-0.0010806916426512,0.0453523746974856,349.48,0.0084547684316838,0.0859298145027269,5801.0,3187.596582,0.5494908778383037,0.7592743487096775,0.2357173390224003,102.82569620451612,338.0252009202177
1733,1270,2020-09-08,10000.4,-0.0296243826232086,0.03990663144101,22.7307,0.0114355891553237,0.1084903737352204,0.002701,-0.0259646592138478,0.0447890278844187,332.83,-0.0476422112853383,0.0753462357206661,8.0,6.93224763,0.866530954,0.868245986,0.0594820635517924,1.386449526,0.4756809399571276
1739,1275,2020-09-09,10365.6,0.0365185392584297,0.0447569582515393,24.4358,0.0750130880263257,0.1131664522472518,0.00279,0.0329507589781563,0.0486812634378575,369.47,0.1100862302076135,0.0946408014723076,89.0,79.61377623000001,0.8945368115730339,0.905095105,0.024930299,5.686698302142858,10.21219586620583
1745,1280,2020-09-10,10222.9,-0.0137666898201744,0.0240706837133333,23.2698,-0.0477168744219547,0.0866468311339755,0.00276,-0.010752688172043,0.0343734673224669,358.29,-0.0302595609927734,0.0826648145241257,17.0,15.32127095,0.9012512323529412,0.893104793,0.054299341,1.178559303846154,0.8121125961521432
1751,1285,2020-09-11,10351.7,0.0125991646206067,0.0234940495183453,26.4719,0.1376075428237457,0.0972859957873808,0.002779,0.0068840579710145,0.0301801532866274,369.38,0.0309525803120376,0.083787331949213,7.0,6.140974669999999,0.8772820957142856,0.8838932140000001,0.0241488406140207,1.2281949339999998,0.4506458495145086
1757,1290,2020-09-12,10546.3,0.0187988446342144,0.0217239039953421,31.2865,0.181875875928815,0.0899804927207847,0.002808,0.0104354084202951,0.0189295736572904,388.62,0.052087281390438,0.0538293185214997,,,,,,,
1762,1295,2020-09-13,10353.0,-0.0183287029574352,0.023539521858126,30.1213,-0.0372429002924583,0.0875980548874596,0.002765,-0.0153133903133902,0.0194351012470572,366.36,-0.0572796047552879,0.0601361526364684,,,,,,,
1768,1300,2020-09-14,10739.2,0.0373031971409254,0.0269876941798556,28.8599,-0.0418773426113747,0.0931507169543404,0.002807,0.0151898734177216,0.0202948785242698,376.13,0.0266677584889178,0.0604771527568569,347.0,175.5548398,0.5059217285590778,0.8157452985714286,0.2227247588221634,8.359754276666667,25.42303189089389
1774,1305,2020-09-15,10762.2,0.0021416865315853,0.0222037356958313,26.7422,-0.0733786326355947,0.102511428714112,0.002818,0.0039187744923405,0.0161774022030088,358.9,-0.0458086299949486,0.060178566529055,165.0,141.9889539,0.8605391147272727,0.7555321829032259,0.3730149570450428,4.580288836451613,10.849152602905118
1780,1310,2020-09-16,10887.4,0.011633309174704,0.0191765660943698,27.6234,0.0329516644105571,0.1004924938524576,0.002793,-0.0088715400993613,0.0117677818099055,378.77,0.0553636110337141,0.0476072518343085,249.0,209.99281243,0.8433446282329318,0.8247670340909091,0.2065104144351133,9.545127837727271,22.181838146882956
1787,1315,2020-09-17,10938.2,0.0046659441188898,0.016954975275592,27.8802,0.0092964660396619,0.0961405491943547,0.002805,0.004296455424275,0.0107622858027094,387.14,0.0220978430181904,0.0452865012406564,14.0,12.43769488,0.8884067771428571,0.895451768,0.0274598688446684,1.243769488,0.8307042011193002
